"brood_year","Individuals_Released","Age1Sp","Age2Sp","Age3Sp","Age4Sp","Age5Sp","Age1Hat","Age2Hat","Age3Hat","Age4Hat","InRiver3","InRiver4","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","Nov3","Apr4","May4","Jun4","Jul4","Aug4","Sept4","Oct4","Nov4","Age6.2","Age6.1","Age5.12","Age5.11","Age5.10","Age5.9","Age5.8","Age5.7","Age5.6","Age5.5","Age5.4","Age5.3","Age5.2","Age5.1","Age4.12","Age4.11","Age4.10","Age4.9","Age4.8","Age4.7","Age4.6","Age4.5","Age4.4","Age4.3","Age4.2","Age4.1","Age3.12","Age3.11","Age3.10","Age3.9","Age3.8","Age3.7","Age3.6","Age3.5","Age3.4","Age3.3","Age3.2","Age3.1","Age2.12","Age2.11","Age2.10","Age2.9","Age2.8","Age2.7","Age2.6","Age2.5","Age2.4","Age2.3","Out_Survival","Mat4","Mat3","Mat2","Imp4","Imp3","Imp3_4","Imp3_5","Imp3_6","Imp3_7","Imp3_8","Imp3_9","Imp3_10","Imp3_11","Imp4_4","Imp4_5","Imp4_6","Imp4_7","Imp4_8","Imp4_9","Imp4_10","Imp4_11"
2001,252278,0,27.719132,302.756168,2.1,0,0,1.08684965178206,8.21375096827144,0,0,0,0,13.1829613163201,17.5065756116394,15.6398227202251,0,0,0,0,5.59942817159551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13936430317848,2.17946648653065,2.22032038155119,2.26194007900488,2.30433993378655,2.3475345698722,2.39153888536288,2.43636805762314,2.48203754851583,2.52856310973496,8.17538895983406,8.32863585965165,325.283776312065,331.381190211965,337.592899563942,343.921046825532,350.367814614437,356.935426461326,363.626147576737,386.082108352598,410.825756899942,431.7096085249,439.801964674919,448.046011282517,505.193339267188,535.219132606408,567.029486816832,600.730465957021,636.434437924591,674.260449120236,714.334621379633,756.790572496698,801.769861740331,849.422461850123,899.907259084779,953.392582990549,0.00377913485516196,1,0.973915836029574,0.0604086426786749,0.672310359818002,0.103403129324973,0,0.0305366409641997,0.0426131402854159,0.0405090585185617,0,0,0,0,0.684912754500817,0,0,0,0,0,0,0
2002,232723,0,178.413664,2706.255356,94.573212,0,0,0,3.12398878791596,1.02566693613581,0,0,80.8295061232157,300.949639504109,335.055555265274,473.309072613784,64.188014280226,7.03378411920604,2.58709353187924,13.4920094152889,15.0642105859841,8.19183412987286,13.2780124165422,19.0524042829686,8.71253339671341,8.74713171594705,0,4.37256157499332,0,0,0,0,0,0,0,0,0,0,0,0,97.3908709618335,99.2164537100994,101.07625683588,107.343483371937,109.355626907026,120.15261960004,131.117402589908,152.627590295508,168.76659258719,180.12194067754,198.56252015968,202.284555989894,2966.24276770356,3021.84471037445,3078.48890624943,3149.68690168244,3211.31458098343,3278.54415594421,3404.1881731476,3941.30843401109,4350.24344647462,4732.73799165837,4902.28222786157,4994.17504875873,5480.01770606921,5805.71851474649,6150.77711065419,6516.34400959232,6903.63810741849,7313.95074416622,7748.65000971101,8209.18530534062,8697.09217643883,9213.99743239627,9761.62457081922,10341.7995241225,0.0444382356884472,1,0.930526131145886,0.0344921419249754,0.382721694813366,0.255786924242971,0.0164881380479953,0.0635889077389334,0.0770199551790139,0.120089325800898,0.0188556011052926,0.0021453986234876,0.000805618218532478,0.00428360336644318,0.0758663345623825,0.0454793796861102,0.0786767820158624,0.1248293591354,0.0664483373268407,0.0728001748531508,0,0.0407342992572986
2003,218617,0,141.72186,2092.757616,62.51113,2.92,0,0,2.02028397565923,2.02012067389317,0,0,81.1755025771861,99.4314149099169,190.773118550216,153.515014126409,46.1513063101545,5.86744761216482,0,2.00551651100543,5.339462402768,3.11386922594084,5.51923507819925,10.5128183618598,0,1.60639176787776,0,0,2.97473512632437,3.03049625746166,3.08730262577594,3.14517382414012,3.20412981269368,3.26419092572706,3.32537787869505,3.3877117753617,3.45121411507916,3.51590680020289,3.58181214364598,3.64895287657496,69.458235075864,70.7602231824206,72.0866169340063,73.4378738121498,74.8144598738283,77.8232416800908,79.2820310514372,91.280983654685,98.5112722162239,103.471726006935,110.750756215864,112.826768761068,2248.98601134548,2291.143043343,2334.09030495415,2379.84812547,2424.45815553179,2475.77184403819,2568.33126152428,2769.98940443232,3012.68571475266,3168.58964102306,3309.16005944665,3371.1899546115,3721.69913614948,3942.89557807976,4177.2386673162,4425.50976514058,4688.53667246592,4967.19638994165,5262.41804210367,5575.18597531906,5906.54303985493,6257.59406701444,6629.50955293404,7023.52956132433,0.0321270969838774,0.946480757073805,0.948891769274237,0.0403431305649423,0.231255198772022,0.171725511879015,0.024530545854213,0.0313803383128567,0.0633232725259157,0.0554207947080109,0.0179693745123688,0.00236994682134947,0,0.000842707771786637,0.0482115209431245,0.0300939140198757,0.0560264318390386,0.115169862779193,0,0.0206415427216612,0,0
2004,168261,0,3.311526,84.215896,3.145424,0,0,0,7.05294100591121,0,0,0,8.04037545644742,0,4.12439515991738,9.29567396187809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20438467807661,3.2644505685377,3.32564238848584,3.38798124336374,3.45148863423363,3.51618646519319,3.58209705093031,3.64924312441963,3.71764784476327,3.78733480517856,3.85832804113545,3.93065203864655,96.9839945441705,98.8019504321215,100.653983732805,102.540733224129,104.462849657833,106.420995983938,108.415847579399,119.743766442928,126.11274728189,128.476718909831,138.925378420822,141.529521618605,153.449568406192,162.569730274597,172.23194223392,182.468420631338,193.313296568851,204.802729705319,216.975028822247,229.870779555299,243.532979717448,258.007182664952,273.341649184185,289.587508405747,0.00172106137729924,1,0.958711416646293,0.0228631734887744,0,0.151632283729996,0.0578754979676363,0,0.0327040307091118,0.0776297108234738,0,0,0,0,0,0,0,0,0,0,0,0
2005,173344,0,1.82648,112.544684,0,0,0,0,4.29056201558335,0,0,0,0,10.112959880107,7.49134863180502,14.4213988968733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.025311751817,121.256430065013,123.52937048188,125.84491695383,128.203868127374,130.607037619574,133.055254298669,149.97076146683,160.273297966391,173.390565795339,176.640755700223,179.951870110251,192.582212215543,204.028193892937,216.154459045383,229.001439819242,242.611971415661,257.031434914356,272.307908586033,288.492328197937,305.638656847057,323.804064887231,343.049120550091,363.437991895424,0.00209662862225069,0,1,0.0100478412247235,0,0.177968183321263,0,0.0583247412206027,0.0467410899186459,0.0961614034350488,0,0,0,0,0,0,0,0,0,0,0,0
2006,196288,0,22.317852,423.44196,26.765616,2.731292,1.08112676056338,3.34686330120004,6.23076840341983,0,8.69507112648981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78248981255094,2.83464732329965,2.88778252169891,2.94191373441209,2.99705963163416,3.05323923353113,3.11047191680026,3.16877742135316,3.22817585712424,3.28868771100677,3.35033385391887,3.41313554800211,30.7444494172801,31.3207512400979,31.9078557865708,32.5059655527412,33.1152868304209,33.7360297783424,34.3684084946439,35.012641090713,35.668949766415,36.3375608867309,37.0187050598318,37.7126172166176,485.004499538027,494.095863425048,503.357644076047,512.793035937293,522.405293334651,532.197731596017,542.173728194802,552.336723914835,562.690224037118,573.237799548816,583.983088374914,594.929796632961,657.479088816782,696.555873309442,737.955157653822,781.814977914844,828.281574229097,877.509878407773,929.664030519942,984.917926178559,1043.45579635402,1105.4728216485,1171.17578307925,1240.78375154068,0.00632124099048683,0.886902692360444,0.92078519533666,0.0413550471486007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,71883,0,0,163.358916,5.02139,0,0,0,0,0,15.7497020922821,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05250635392067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11551548492258,5.21140534323816,5.30909264796063,5.40861109205443,5.50999500005545,5.61327933990979,7.7710060889551,7.91667286975866,8.06507016071583,8.21624914498352,8.37026196514214,8.52716174117985,191.152994940365,194.736139914797,198.386450605946,202.105186028878,205.893628798775,209.753085573324,213.684887503387,217.690390692122,221.770976662716,225.928052834877,230.163053010266,234.477437867019,248.413431366691,263.177700356702,278.819472779639,295.390902404534,312.947242721193,331.54703116982,351.252284320182,372.128704651109,394.245899619779,417.677613751222,442.501974521901,468.801752857189,0.00652173327291834,1,0.954554713665228,0,0.240702172213832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264123632181667,0,0,0
2008,146211,0,2.158116,16.154727,0,0,0,0,0,0,0,0,0,0,0,4.99374194826454,0,0,0,0,0,5.54302955015494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54302955015494,5.64693311955475,5.75278435162464,22.3181655986396,22.7365175210265,23.1627114109887,23.5968942654734,24.0392158368718,24.4898286846698,24.9488882280662,30.410294747843,30.9803328727007,31.5610563087822,32.1526653512452,32.7553640497608,36.9885369740023,39.18692337536,41.5159692503019,43.9834402482275,46.5975635641779,49.3670553704607,52.3011498786532,55.4096301288835,58.7028606090513,62.1918218127464,65.8881468510927,69.8041602405898,0.000477420715545272,0,0.737405848647522,0.0618132594322917,0.96353856,0.152455699795558,0,0,0,0.164212217923957,0,0,0,0,0,1,0,0,0,0,0,0
2009,198582,0,33.783128,745.22703,0,0,0,2.25824554524817,2.20033861625287,0,0,0,31.9873011095127,119.403227275627,104.931572672552,63.5393170201264,132.244379011928,5.04174503099482,2.18213223225893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.437824588685,775.710905245196,790.251533460877,805.064724389646,822.337719426275,842.794107934698,990.836583509379,1072.94903942169,1197.99294127656,1339.85243395509,1396.95514336205,1423.1409365954,1545.90773401912,1637.78761947147,1735.12831811789,1838.25438936104,1947.50968255222,2063.25848347518,2185.88672897042,2315.80329374978,2453.4413536919,2599.25983016411,2753.74492018657,2917.4117175406,0.0146912193327724,0,1,0.0246997056466331,0,0.322757685160726,0.0228978727495351,0.0891166999063938,0.0875894749102101,0.0592193242042262,0.133467396352626,0.0059821787830836,0.00265357186069654,0,0,0,0,0,0,0,0,0
2010,123859,0,2.56668,326.818844,18.580081,0,1.06110403888439,0,0,2.13854692207649,0,0,0,0,3.33673933071317,22.1968163852236,34.9998704771412,6.26029077895898,0,0,0,0,2.34770524602757,4.06184687704492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1069966606321,21.5026453347923,21.9057104062676,22.3163308947307,22.7346484257647,23.1608072797114,23.5949544414338,28.0990865280574,30.9735065174796,31.5541019941724,32.1455806786598,32.7481465756517,366.307040113745,373.173431248721,380.168532241973,387.294755747732,394.554559645203,408.210738665271,450.862481179332,481.510672517387,493.873284275077,503.130892700771,512.56203412874,522.169961418847,555.923976500526,588.964907829777,623.969602531811,661.054775433638,700.344078221886,741.968511729936,786.066862729034,832.78616667977,882.282197986831,934.719989391706,990.274382235094,1049.13060942377,0.00847036234285573,1,0.908923378858489,0.00489136796900613,0.19572259175846,0.127915663303466,0,0,0.00675626610500089,0.0460982853592348,0.07762870484497,0.0153359286907255,0,0,0,0,0.0757972057410633,0.14455441008693,0,0,0,0
2011,194264,0,63.97908,384.324096,3.436397,0,0,0,163.802366974574,0,3.5731766066095,0,0,9.64925074960397,17.1677337221452,80.2602147621998,44.6663251690693,0,13.2984819646454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5008119396903,3.56643433138784,3.63328680866732,3.70139242936768,3.77077468354491,3.84145750157387,3.91346526240206,3.98682280195809,4.0615554217177,4.13768889743042,4.2152494880098,4.29426394459026,566.415957137096,577.033371166561,587.849807626896,598.868997174914,623.393222362887,635.078669888842,691.649485202527,784.874604740324,816.754739366322,841.713981155393,857.491830842902,873.565434844032,993.266781273474,1052.30085949091,1114.8435845862,1181.1034903975,1251.30150481778,1325.67168642629,1404.46200490125,1487.93516781571,1576.36949657349,1670.05985440564,1769.31862952182,1874.47677669437,0.00964912066411879,1,0.992276419008628,0.0682411117413912,0,0.188929185822388,0,0.0114638118952934,0.0210194479379021,0.102258646511762,0.0645794237177668,0,0.0213324134552495,0,0,0,0,0,0,0,0,0
2012,181857,0,31.454462,548.777969,15.22136,0,0,76.2825946023702,127.240586789775,0,0,0,28.320134738739,27.4467496742393,3.21848279930263,53.5458484019561,51.533356106104,10.777356861958,2.78258436066095,0,0,2.97671139428408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5066829665852,15.7973542854372,16.0934742109181,16.3951448766484,16.7024703307339,17.0155565716523,17.3345115848129,17.6594453798012,17.9904700283224,21.304411097139,21.7037602864089,22.1105952388029,711.215516532781,724.547184731847,738.1287538018,751.964908111043,768.843004196687,794.032251112862,860.449667345775,930.124564116886,950.778144695071,996.047141580383,1043.03808663399,1062.58973780969,1239.88430385853,1313.57591255274,1391.64732763294,1474.35885965986,1561.98629056029,1654.82179315637,1753.17490534629,1857.37356218486,1967.76518930487,2084.71786132521,2208.62152910818,2339.88931995781,0.0128666442312246,1,0.968328789585385,0.0920572417181083,0.134628279435016,0.167161893835993,0.0271515825756002,0.0275556733496477,0.00338510389333239,0.0575684703615968,0.0598911918521262,0.0135729459941371,0.00361918407980871,0,0,0.139722772937095,0,0,0,0,0,0
2013,193155,0,3.275543,133.73178,18.2448,0,0,3.03630982838775,2.02221089253087,4.04893859648802,0,0,0,0,0,2.77712391546473,0,0,0,0,0,0,2.59728755530175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.711632637009,23.1373600621526,23.5710677079794,24.0129051629782,24.4630248196599,24.9215819271189,25.3887346445792,25.8646440959446,28.9467619806732,29.4893663209792,30.0421417287889,30.6052788598094,169.477658671903,172.654501499494,175.89089394814,179.187952269906,182.546813640898,185.968636553483,189.454601215854,195.783033874566,199.452968494872,203.191695695672,207.000504987441,210.880710052406,230.101242590098,243.777140152662,258.265854595468,273.615695090018,289.877842027776,307.106517669008,325.359166934005,344.696648939512,365.183439918966,386.887848203163,409.882241978137,434.243290579656,0.00224815971929101,1,0.816029014160909,0.0290610909723093,0.0848640382333679,0.0131691699765929,0,0,0,0.0141847016082301,0,0,0,0,0,0,0.0897263589287077,0,0,0,0,0
2014,609311,3.364691,201.86187,372.2382,4.684599,0,5.1991225316428,107.300342554575,124.703390116787,0,0,0,15.4225613725191,7.154974358029,13.5426949525707,12.3004583489835,28.4237749024706,6.17938214469563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77241136919315,4.86186977301666,4.95300506623539,5.0458486819839,5.14043264260788,5.23678957070893,5.33495270039622,5.4349558887492,5.53683362749511,5.64062105490537,5.746353967915,5.85406883446924,512.22051645401,521.822042027312,531.603547297588,541.568405967388,551.720054979002,568.241377844575,607.316784116585,631.001338663353,656.372094568864,675.830702321419,703.921646867037,717.116592162833,1087.2749281888,1151.89631124992,1220.35841852942,1292.88952063717,1369.73145527828,1451.14043360343,1537.38789448398,1628.76140956032,1725.56564208106,1828.12336273023,1936.77652582925,2051.88740950233,0.00336755353095928,1,0.988356962256437,0.301245832159327,0,0.115774543479558,0.0219094858655941,0.0105869329899519,0.020632648865833,0.0194935534923579,0.0468022219142459,0.0108745726475164,0,0,0,0,0,0,0,0,0,0
2015,419690,0,260.5368,1649.314127,9.170464,0,1.0166208527776,38.4700137529921,125.136268556538,1,0,8.66911268541987,140.943745700824,88.372650850118,121.348472694659,98.8398821866738,73.4137352200669,4.51559534822874,4.99019025152807,0,0,0,0,0,2.88538476296124,3.17267621868622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1927227846576,19.552488574427,19.9189981402068,20.2923778934462,20.6727566151653,24.2329417190583,27.5725707033222,28.0894159569297,28.615949426375,29.152352716356,29.6988108357335,30.2555122613422,1838.53495091471,1872.99811625378,1908.10729039709,1943.87458271912,1985.30251983498,2027.03242484597,2138.44269288711,2277.36748292741,2441.40499564435,2575.54155431828,2764.76358506337,2816.58881933921,3300.7687605596,3496.94751621951,3704.78601146257,3924.9772343072,4158.25536000339,4405.39819896535,4667.2297901953,4944.62314884554,5238.50317707971,5549.84974793909,5879.70097249612,6229.15666118882,0.0148422804002688,1,0.983235211825773,0.0959709952655923,0.200229992119086,0.189031593321814,0.0509785887163272,0.0343122597660861,0.049704359953041,0.0434009367955063,0.0343304664952003,0.00222768777296292,0.00251356667393081,0,0,0,0,0,0.104646925889053,0.130924105520009,0,0
2016,141332,0,353.978806,2580.517072,0,0,0,6.06751828731893,97.2370331159914,0,0,0,86.9429514746448,60.1806829938915,169.059892972808,123.341913584243,51.2061556662985,57.1425789443976,9.30897636965326,0,0,7.10293060287106,11.2554081494395,0,0,0,2.5392606545835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5392606545835,2.58685885756265,2.63534928439553,2.68474865973465,13.9904821711741,21.3556630510924,21.7559729534356,22.1637866273794,2750.52759957556,2802.0859816377,2854.6108207393,2908.12023302699,2971.94165060253,3084.79299724364,3193.82330852249,3377.03314068539,3609.3952033695,3737.23366116168,3894.23070734433,3967.22769696855,4584.46235963117,4856.93649711958,5145.60493391205,5451.430166238,5775.43189558004,6118.69042862596,6482.35027929437,6867.62398484413,7275.79614879132,7708.22772411413,8166.36055102673,8651.72216445251,0.0612155928201151,0,0.991790940496687,0.0832039576229161,0.942871349477747,0.140446476624393,0.0223260915976741,0.0161030025013702,0.046838842367548,0.0365237498259226,0.0160328705503709,0.0185239589805398,0.00313228773107505,0,0,0.332601735936629,0.804504663365363,0,0,0,1,0
2017,430292,0,130.981744,0,0,0,0,9.01057972850278,0,0,0,0,23.3095801372652,76.8251286122892,141.764792545282,81.2573551960899,91.0746639034765,5.84444215727845,2.78370822517226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78370822517226,8.68033073222981,99.917706621722,183.048009863696,328.244020197784,411.222052204164,442.239951168402,450.529697604321,625.619261926924,662.802481117623,702.195657503574,743.930138259957,788.145077084392,834.987898171831,884.614787765474,937.191214922634,992.892483231947,1051.90431532148,1114.42347210667,1180.65840884274,0.00274385396159525,0,0,0.237065373806952,0,0.938583345394095,0.0527079927439416,0.186821519421208,0.431888423922731,0.443912803294595,0.911496740495412,0.673297174677712,1,0,0,0,0,0,0,0,0,0
